titre_poste,entreprise,ville_normalized,region,type_contrat_normalized,modalite_travail,is_remote,is_hybrid,niveau_etudes_normalized,experience_requise,experience_years_min,experience_years_max,langue,secteur_activite,sous_secteur,fonction,soft_skills,tech_stack,tech_count,soft_skills_count,nbr_postes,date_limite,date_annee,job_id,is_agile_driven,has_corp_perks,is_remote_friendly
Consultant Java/JEE Confirmé,Capgemini,Casablanca,Casablanca-Settat,CDI,Télétravail,1,0,Bac+5,Intermédiaire (3 à 5 ans),3,5,Français | Anglais,Informatique / Electronique- Internet / Multimédia- Secteur Informatique,,,Ambition | Autonomie | Implication | Leadership | Persuasion | Recherche de nouveauté | Réflexion,Agile | Java | Spring,3,7,5.0,27/12/2020,2020,4131E50BC2,True,False,False
Développeur JAVA Liferay H/F,Crit,Rabat,Rabat-Salé-Kénitra,CDI,Télétravail,1,0,Bac+2,Intermédiaire (3 à 5 ans),3,5,Français | Anglais,Informatique / Electronique- Internet / Multimédia- Secteur Informatique,,,Ambition | Autonomie | Implication | Recherche de nouveauté | Réflexion,Java,1,5,1.0,26/12/2020,2020,62F62DD0CF,False,False,False
Application Developer JAVA JEE,Atos,Casablanca,Casablanca-Settat,CDI,Télétravail,1,0,Bac+5,Junior (1 à 3 ans),1,3,,Informatique / Electronique- Secteur Informatique,,,Ambition | Analyse | Autonomie | Communication | Implication | Recherche de nouveauté | Rigueur | Réflexion | Travail en équipe,Java | Spring,2,9,3.0,28/12/2020,2020,0FEB3342E0,False,False,False
Ingénieur Automatisme et Manutention,Alten Maroc,Rabat,Rabat-Salé-Kénitra,CDI,Télétravail,1,0,Bac+5,Junior (1 à 3 ans),1,3,Français | Anglais,Automobile / Motos / Cycles,Informatique / Electronique,Informatique / Electronique,Ambition | Autonomie | Implication | Recherche de nouveauté | Réflexion,,0,5,3.0,29/12/2020,2020,88E6FD0734,False,False,False
Technicien en Climatisation Hispanophone,Maroc Climate And Security Mcs Carrier,Casablanca,Casablanca-Settat,CDI,Télétravail,1,0,Bac,Intermédiaire (3 à 5 ans),3,5,Espagnol,Autres services,Commercial / Vente / Export,Commercial / Vente / Export,Ambition | Persuasion | Recherche de nouveauté,,0,3,1.0,30/01/2021,2020,9A372523C1,False,False,False
Ingénieur Sénior JAVA/JEE,Oceane Consulting,Casablanca,Casablanca-Settat,CDI,Télétravail,1,0,Bac+5,Confirmé (5 à 10 ans),5,10,,Informatique,Informatique / Electronique,Informatique / Electronique,Ambition | Analyse | Autonomie | Implication | Recherche de nouveauté | Réflexion,Agile | Git | Java | Javascript | Linux | Oracle | Scrum | Soap | Spring | Sql,10,6,5.0,09/01/2021,2020,AB117E40EE,True,False,False
Ingénieur Dimensionnement Radio Mobile,Sofrecom Services Maroc,Rabat,Rabat-Salé-Kénitra,CDI,Télétravail,1,0,Bac+5,Intermédiaire (3 à 5 ans),3,5,Anglais,Informatique / Electronique- Internet / Multimédia- Secteur Informatique,,,Ambition | Autonomie | Communication | Implication | Innovation | Organisation | Recherche de nouveauté | Rigueur | Réflexion | Écoute,,0,10,2.0,02/01/2021,2020,148A018BB9,False,False,False
Ingénieur Logiciel ( Java/ETL),Obs,Rabat,Rabat-Salé-Kénitra,CDI,Télétravail,1,0,Bac+5,Junior (1 à 3 ans),1,3,,Informatique,Informatique / Electronique,Informatique / Electronique,Ambition | Autonomie | Implication | Recherche de nouveauté | Réflexion | Travail en équipe | Écoute,Agile | Confluence | Devops | Etl | Git | Java | Jenkins | Jira | Oracle | Php | Scrum | Sql,12,7,1.0,03/01/2021,2020,144EE724B5,True,False,False
Ingénieur Conception Contrôle Commande,Peugeot Citroen Automobiles Maroc,Casablanca,Casablanca-Settat,CDI,Télétravail,1,0,Bac+5,Junior (1 à 3 ans),1,3,,Automobile / Motos / Cycles,Gestion projet / Etudes / R&D,Gestion projet / Etudes / R&D,Ambition | Analyse | Autonomie | Recherche de nouveauté,Matlab,1,4,2.0,04/01/2021,2020,2C21BA9B1B,False,False,False
Ingénieur Talend,Digital Virgo,Casablanca,Casablanca-Settat,CDI,Télétravail,1,0,Bac+5,Confirmé (5 à 10 ans),5,10,,Informatique / Electronique- Télécom / Réseaux- Secteur Informatique,,,Ambition | Analyse | Autonomie | Implication | Organisation | Organisé | Planification | Recherche de nouveauté | Rigoureux | Rigueur | Réflexion | Écoute,Agile | Machine Learning | Sql | Tableau,4,12,1.0,04/01/2021,2020,C5F76117D7,True,False,False
Ingénieur d'Exploitation N1 3*8,Confidentiel,Casablanca,Casablanca-Settat,CDI,Télétravail,1,0,Bac+5,Intermédiaire (3 à 5 ans),3,5,Français | Anglais,Informatique,Informatique / Electronique,Informatique / Electronique,Ambition | Analyse | Autonomie | Implication | Organisation | Recherche de nouveauté | Réflexion,Apache | Linux | Mongodb | Mysql | Oracle | Vmware,6,7,1.0,28/12/2020,2020,8E460B0D7F,True,False,False
Acheteur Anglophone en CDD,Maroc Climate And Security Mcs Carrier,Casablanca,Casablanca-Settat,CDD,Télétravail,1,0,Bac,Junior (1 à 3 ans),1,3,Français | Anglais,Achats / Supply Chain- Secteur Autres services,,,Organisation | Recherche de nouveauté,,0,2,1.0,04/01/2021,2020,DD72EEF924,False,False,False
Architecte FullStack Micro-Services ( H/F ),S2M,Casablanca,Casablanca-Settat,CDI,Télétravail,1,0,Bac+5,Confirmé (5 à 10 ans),5,10,,Informatique / Electronique- Internet / Multimédia- Secteur Informatique,,,Ambition | Analyse | Autonomie | Implication | Recherche de nouveauté | Réflexion,Agile | Angular | Devops | Java | Microservices | Spring | Vue.js,7,6,1.0,04/01/2021,2020,B6B7506AB9,True,False,False
Ingénieur MOA,Digital Virgo,Casablanca,Casablanca-Settat,CDI,Télétravail,1,0,Bac+5,Junior (1 à 3 ans),1,3,Français | Anglais,Informatique / Electronique- Internet / Multimédia- Secteur Internet / Multimédia,,,Ambition | Analyse | Autonomie | Communication | Implication | Organisation | Organisé | Persuasion | Planification | Recherche de nouveauté | Rigoureux | Rigueur | Réflexion | Écoute,Agile,1,14,1.0,04/01/2021,2020,40160F3013,True,False,False
Architecte PHP (F/H),Sqli Maroc,Rabat,Rabat-Salé-Kénitra,CDI,Télétravail,1,0,Bac+5,Confirmé (5 à 10 ans),5,10,Anglais,Informatique,Informatique / Electronique,Informatique / Electronique,Ambition | Autonomie | Communication | Esprit d'équipe | Implication | Organisé | Recherche de nouveauté | Rigoureux | Réflexion,Docker | Git | Javascript | Linux | Mysql | Php | Rest | Soap | Symfony,9,9,1.0,04/01/2021,2020,F030DED0E8,False,False,False
Tech Lead PHP,Digital Virgo,Casablanca,Casablanca-Settat,CDI,Télétravail,1,0,Bac+5,Confirmé (5 à 10 ans),5,10,Anglais,Télécom / Réseaux- Informatique / Electronique- Secteur Informatique,,,Ambition | Autonomie | Implication | Recherche de nouveauté | Rigueur | Réflexion,Aws | Linux | Mysql | Php | Postgresql,5,6,1.0,04/01/2021,2020,874A8E4C88,False,False,False
Acheteur,Maroc Climate And Security Mcs Carrier,Casablanca,Casablanca-Settat,CDD,Télétravail,1,0,Bac,Junior (1 à 3 ans),1,3,Français | Anglais,Achats / Supply Chain- Secteur Autres services,,,Organisation | Recherche de nouveauté,,0,2,1.0,04/11/2020,2020,BF0EA64925,False,False,False
Technicien Helpdesk Francophone,Econocom Maroc,Salé,Rabat-Salé-Kénitra,CDI,Télétravail,1,0,Bac+2,Débutant (-1 an),1,1,,Informatique / Electronique- Télécom / Réseaux- Secteur Informatique,,,Ambition | Autonomie | Implication | Recherche de nouveauté | Relation client | Réflexion | Stress,,0,7,10.0,04/01/2021,2020,E5CFB6563D,False,False,False
Analyst Developer (H/F) Java/JEE,Ntt Data Tetouanshore,Tétouan,Tanger-Tétouan-Al Hoceïma,CDI,Télétravail,1,0,Bac+5,Intermédiaire (3 à 5 ans),3,5,Anglais | Espagnol,Informatique / Electronique- Internet / Multimédia- Secteur Informatique,,,Ambition | Analyse | Autonomie | Implication | Recherche de nouveauté | Réflexion,Angular | Git | Java | Jenkins | Node.js | Spring,6,6,10.0,04/01/2021,2020,79E918BCEA,False,False,False
React Developer/JavaScript,Ntt Data Tetouanshore,Tétouan,Tanger-Tétouan-Al Hoceïma,CDI,Télétravail,1,0,Bac+5,Intermédiaire (3 à 5 ans),3,5,Anglais | Espagnol,Informatique / Electronique- Internet / Multimédia- Secteur Informatique,,,Ambition | Analyse | Autonomie | Implication | Recherche de nouveauté | Réflexion,Javascript | Node.js | React,3,6,10.0,04/01/2021,2020,CCE27D6F2C,False,False,False
Concepteur/Développeur PHP (Zend),Sofrecom Maroc,Rabat,Rabat-Salé-Kénitra,CDI,Télétravail,1,0,Bac,Confirmé (5 à 10 ans),5,10,,Informatique,Informatique / Electronique,Informatique / Electronique,Ambition | Analyse | Autonomie | Communication | Implication | Recherche de nouveauté | Réflexion,Mariadb | Mysql | Php,3,7,1.0,03/01/2021,2020,328C199A3B,True,False,False
Consultant Java/JEE Confirmé,Capgemini,Casablanca,Casablanca-Settat,CDI,Télétravail,1,0,Bac+5,Intermédiaire (3 à 5 ans),3,5,Français | Anglais,Informatique / Electronique- Internet / Multimédia- Secteur Informatique,,,Ambition | Autonomie | Implication | Leadership | Persuasion | Recherche de nouveauté | Réflexion,Agile | Java | Spring,3,7,5.0,03/01/2021,2020,EE9AA1E363,True,False,False
Technicien GR,Novec Kelaat Sraghna,Kelaat Sraghna,,CDD,Télétravail,1,0,Bac,Confirmé (5 à 10 ans),5,10,,Agriculture / Environnement,Agriculture (métiers de l'),Agriculture (métiers de l'),Implication,,0,1,1.0,03/01/2021,2020,36424AF8EE,False,False,False
Administrateur N2 Réseau et Sécurité (H/F),Cgi Technologies Et Solutions Maroc Casablanca Ou,Casablanca,Casablanca-Settat,CDI,Télétravail,1,0,Bac+5,Intermédiaire (3 à 5 ans),3,5,Anglais,Informatique / Electronique- Secteur Informatique,,,Ambition | Autonomie | Implication | Organisation | Recherche de nouveauté | Réflexion,,0,6,2.0,03/01/2021,2020,FD9C5C68C3,False,False,False
Développeur PHP Junior,Atos,Casablanca,Casablanca-Settat,Autre,Télétravail,1,0,Bac+5,Débutant (-1 an),1,1,,Informatique,Informatique / Electronique,Informatique / Electronique,Ambition | Autonomie | Communication | Implication | Recherche de nouveauté | Rigueur | Réflexion,Php,1,7,6.0,03/01/2021,2020,A2B6FF08E4,False,False,False
Ingénieur testeur Informatique à Rabat,Axa Services Maroc Sale,Salé,Rabat-Salé-Kénitra,CDI,Télétravail,1,0,Bac+5,Junior (1 à 3 ans),1,3,Anglais,Informatique / Electronique- Secteur Assurance / Courtage,,,Ambition | Analyse | Autonomie | Implication | Proactivité | Recherche de nouveauté | Réflexion,Agile,1,7,1.0,03/01/2021,2020,41483F2D15,True,False,False
Chef de projet Réseau & Sécurité (H/F),Cgi Technologies Et Solutions Maroc Casablanca Ou,Casablanca,Casablanca-Settat,CDI,Télétravail,1,0,Bac+5,Expert (10 à 20 ans),10,20,Anglais,Informatique / Electronique- Secteur Informatique,,,Ambition | Autonomie | Implication | Organisation | Recherche de nouveauté | Réflexion,,0,6,2.0,03/01/2021,2020,79C6611A3B,False,False,False
Ingénieur de Production Confirmé,Excel Management Conseil,Rabat,Rabat-Salé-Kénitra,CDI,Télétravail,1,0,Bac+5,Confirmé (5 à 10 ans),5,10,Anglais,Informatique,Informatique / Electronique,Informatique / Electronique,Ambition | Analyse | Autonomie | Implication | Recherche de nouveauté | Réflexion,Agile | Apache | Aws | Azure | Linux | Oracle | SQL Server | Sql,8,6,1.0,04/11/2020,2020,EA92E5C112,True,False,False
Développeur PHP/SYMFONY Senior,Sqli Maroc,Oujda,Oriental,CDI,Télétravail,1,0,Bac+5,Intermédiaire (3 à 5 ans),3,5,Anglais,Informatique,Informatique / Electronique,Informatique / Electronique,Ambition | Analyse | Autonomie | Communication | Esprit d'équipe | Implication | Organisé | Recherche de nouveauté | Rigoureux | Réflexion,Agile | Docker | Git | Javascript | Linux | Mysql | Php | Rest | Soap | Symfony | Vue.js,11,10,5.0,02/01/2021,2020,98BB2FA915,True,False,False
Conseiller Digital Technique - MEKNES,Intelcia,Casablanca,Casablanca-Settat,CDI,Télétravail,1,0,Bac,Junior (1 à 3 ans),1,3,Français,Centre d'appels,Télécom / Réseaux,Télécom / Réseaux,Ambition | Analyse | Autonomie | Implication | Recherche de nouveauté | Réflexion | Écoute,,0,7,1.0,02/01/2021,2020,F7C9D4F280,False,False,False
Architecte Télécom,Attijariwafa Bank,Casablanca,Casablanca-Settat,CDI,Télétravail,1,0,Bac+5,Intermédiaire (3 à 5 ans),3,5,,Télécom / Réseaux- Informatique / Electronique- Secteur Banque / Finance,,,Ambition | Analyse | Autonomie | Collaboration | Implication | Organisation | Recherche de nouveauté | Rigueur | Réflexion,,0,9,2.0,02/01/2021,2020,080E4A4F28,False,False,False
Stagiaire Digital,Hit Radio,Rabat,Rabat-Salé-Kénitra,Stage,Télétravail,1,0,Bac,Débutant (-1 an),1,1,Français | Arabe,Journalisme / Traduction- Internet / Multimédia- Secteur Audiovisuel,,,Ambition | Analyse | Autonomie | Implication | Recherche de nouveauté | Réflexion,,0,6,1.0,28/12/2020,2020,D2C67F3012,False,False,False
Technicien Support FAI et Réseaux (H/F),Alten Maroc,Fès,Fès-Meknès,Autre,Télétravail,1,0,Bac,Débutant (-1 an),1,1,Français,Informatique / Electronique- Internet / Multimédia- Secteur Informatique,,,Ambition | Analyse | Autonomie | Communication | Implication | Recherche de nouveauté | Rigueur | Réflexion,,0,8,10.0,02/01/2021,2020,B169A5E08F,False,False,False
Développeur Architecture Client/Serveur,Sofrecom Maroc,Casablanca,Casablanca-Settat,CDI,Télétravail,1,0,Bac+5,Confirmé (5 à 10 ans),5,10,Français | Anglais,Informatique,Informatique / Electronique,Informatique / Electronique,Ambition | Analyse | Autonomie | Collaboration | Implication | Organisé | Recherche de nouveauté | Rigoureux | Réflexion | Écoute,Agile | Api | Hadoop | IA | Javascript | Linux | Oracle | Rest | Scrum | Soap | Sql,11,10,2.0,27/12/2020,2020,4F76B95B09,True,False,False
Technicien(ne) Approvisionneur,Alten Maroc,Rabat,Rabat-Salé-Kénitra,CDI,Télétravail,1,0,Bac+2,Débutant (-1 an),1,1,Français | Anglais,Automobile / Motos / Cycles,Informatique / Electronique,Informatique / Electronique,Ambition | Autonomie | Gestion de projet | Implication | Négociation | Organisation | Recherche de nouveauté | Rigueur | Réflexion,Excel,1,9,3.0,27/12/2020,2020,B16A296E51,False,False,False
Consultant(e) / Administrateur JIRA,Alten Maroc,Fès,Fès-Meknès,CDI,Télétravail,1,0,Bac+5,Junior (1 à 3 ans),1,3,Anglais,Informatique / Electronique- Secteur Informatique,,,Ambition | Analyse | Autonomie | Communication | Implication | Recherche de nouveauté | Relation client | Rigueur | Réflexion | Écoute,Agile | Java | Jira | Scrum | Sql,5,10,1.0,27/12/2020,2020,B3C2AFF4D8,True,False,False
Pilote de recette et migration de données anglophone,Alten Maroc,Fès,Fès-Meknès,CDI,Télétravail,1,0,Bac+5,Intermédiaire (3 à 5 ans),3,5,Anglais,Informatique / Electronique- Secteur Informatique,,,Ambition | Analyse | Autonomie | Gestion de projet | Implication | Management | Planification | Proactivité | Recherche de nouveauté | Réflexion,Agile | Excel | Jira,3,10,3.0,28/12/2020,2020,2936E3CF34,True,False,False
Stage PFE : Consultant SAP SD MM (H/F),Cgi Technologies Et Solutions Maroc,Casablanca,Casablanca-Settat,Stage,Télétravail,1,0,Bac+5,Débutant (-1 an),1,1,Français,Achats / Supply Chain- Informatique / Electronique- Secteur Informatique,,,Ambition | Analyse | Autonomie | Communication | Curiosité | Esprit d'analyse | Implication | Recherche de nouveauté | Écoute,Sap,1,9,5.0,27/12/2020,2020,2BEE91A327,False,False,False
Auditeur IT Senior,Attijariwafa Bank,Casablanca,Casablanca-Settat,CDI,Télétravail,1,0,Bac+5,Confirmé (5 à 10 ans),5,10,Anglais,Audit / Conseil- Informatique / Electronique- Secteur Banque / Finance,,,Ambition | Autonomie | Communication | Flexibilité | Gestion de projet | Implication | Organisation | Pragmatisme | Recherche de nouveauté | Rigueur | Réflexion,,0,11,1.0,27/12/2020,2020,2BA799A020,False,False,False
Développeur Full Stack,Intelcia,Rabat,Rabat-Salé-Kénitra,CDI,Télétravail,1,0,Bac+5,Intermédiaire (3 à 5 ans),3,5,,Informatique,Informatique / Electronique,Informatique / Electronique,Ambition | Analyse | Autonomie | Implication | Recherche de nouveauté | Réflexion,Agile | Angular | Docker | Git | Java | Javascript | Jenkins | Jira | Linux | Oracle | React | Rest | SQL Server | Scrum | Soap | Spring | Sql | Vue.js,18,6,1.0,26/12/2020,2020,E5E1A7B5A0,True,False,False
Techniciens Support FAI,Alten Maroc,Fès,Fès-Meknès,Autre,Télétravail,1,0,Bac,Débutant (-1 an),1,1,,Informatique / Electronique- Télécom / Réseaux- Secteur Informatique,,,Ambition | Analyse | Autonomie | Communication | Implication | Recherche de nouveauté | Rigueur | Réflexion,,0,8,5.0,27/12/2020,2020,251E8E4400,False,False,False
Développeur PHP,Intelcia,Rabat,Rabat-Salé-Kénitra,CDI,Télétravail,1,0,Bac+5,Junior (1 à 3 ans),1,3,,Informatique,Informatique / Electronique,Informatique / Electronique,Ambition | Autonomie | Implication | Management | Polyvalence | Recherche de nouveauté | Réflexion,Php,1,7,1.0,26/12/2020,2020,7A5A079C94,False,False,False
Chef de Projet Ingénierie Automobile,Alten Maroc,Rabat,Rabat-Salé-Kénitra,CDI,Télétravail,1,0,Bac+5,Confirmé (5 à 10 ans),5,10,Français | Anglais,Automobile / Motos / Cycles,Informatique / Electronique,Informatique / Electronique,Ambition | Autonomie | Gestion de projet | Implication | Management | Recherche de nouveauté | Réflexion,,0,7,2.0,26/12/2020,2020,7BBBD5A915,False,False,False
IT Helpdesk (Bilingue),Anteco Systems,Casablanca,Casablanca-Settat,CDI,Télétravail,1,0,Bac,Junior (1 à 3 ans),1,3,,Télécom / Réseaux- Informatique / Electronique- Secteur Centre d'appels,,,Ambition | Autonomie | Collaboration | Implication | Recherche de nouveauté | Rigoureux | Réflexion | Travail en équipe,,0,8,1.0,26/12/2020,2020,D3A8AAE309,False,False,True
Analyste d'Exploitation Junior,Capgemini,Rabat,Rabat-Salé-Kénitra,CDI,Télétravail,1,0,Bac,Intermédiaire (3 à 5 ans),3,5,Français | Anglais,Informatique,Informatique / Electronique,Informatique / Electronique,Ambition | Analyse | Autonomie | Communication | Implication | Organisé | Recherche de nouveauté | Rigoureux | Réflexion | Stress,Linux | Perl,2,10,3.0,26/12/2020,2020,FDBACD8D16,False,False,False
Stage PFE : Consultant SAP ABAP (H/F),Cgi Technologies Et Solutions Maroc,Casablanca,Casablanca-Settat,Stage,Télétravail,1,0,Bac+5,Débutant (-1 an),1,1,Français,Informatique / Electronique- Secteur Informatique,,,Ambition | Analyse | Autonomie | Communication | Curiosité | Esprit d'analyse | Implication | Recherche de nouveauté | Réflexion | Écoute,Sap,1,10,5.0,27/12/2020,2020,3D0E48BF64,False,False,False
IT Team Leader,Alten Maroc Fes,Rabat,Rabat-Salé-Kénitra,CDI,Télétravail,1,0,Bac+5,Confirmé (5 à 10 ans),5,10,Anglais,Informatique / Electronique- Télécom / Réseaux- Secteur Conseil / Etudes,,,Ambition | Autonomie | Curiosité | Curiosité intellectuelle | Implication | Intégrité | Management | Organisation | Planification | Recherche de nouveauté | Rigueur | Réflexion,,0,12,1.0,27/12/2020,2020,82208571D6,True,False,False
Développeur Full Stack (H/F),Crit,Rabat,Rabat-Salé-Kénitra,CDI,Télétravail,1,0,Bac+5,Confirmé (5 à 10 ans),5,10,,Informatique / Electronique- Internet / Multimédia- Secteur Informatique,,,Ambition | Autonomie | Implication | Recherche de nouveauté | Réflexion,Api | Git | Java | Mysql | Rest | Scrum | Spring | Sql,8,5,1.0,26/12/2020,2020,6AC4C306CC,True,False,False
Concepteur Développeur J2EE Sénior,Sofrecom Maroc,Rabat,Rabat-Salé-Kénitra,CDI,Télétravail,1,0,Bac+5,Confirmé (5 à 10 ans),5,10,,Informatique,Informatique / Electronique,Informatique / Electronique,Ambition | Autonomie | Implication | Recherche de nouveauté | Réflexion,Agile | Angular | Docker | Jenkins | Kafka | Mariadb | Mysql | Rest | Soap | Spring | Sql,11,5,2.0,23/12/2020,2020,C22A5E085F,True,False,False
Consultant Service Now,Dxc Cdg,Casablanca,Casablanca-Settat,CDI,Télétravail,1,0,Bac,Junior (1 à 3 ans),1,3,Français | Anglais,Informatique / Electronique- Internet / Multimédia- Secteur Informatique,,,Ambition | Analyse | Autonomie | Implication | Recherche de nouveauté | Réflexion | Travail en équipe | Écoute,Javascript,1,8,2.0,26/12/2020,2020,C2509567E5,False,False,False
Technicien Helpdesk Francophone,Econocom Maroc,Salé,Rabat-Salé-Kénitra,CDI,Télétravail,1,0,Bac+2,Débutant (-1 an),1,1,,Informatique / Electronique- Télécom / Réseaux- Secteur Informatique,,,Ambition | Autonomie | Implication | Recherche de nouveauté | Relation client | Réflexion | Stress,,0,7,10.0,23/12/2020,2020,00A94F01E0,False,False,False
Stagiaire Chargé(e) de Sourcing,Alten Maroc,Rabat,Rabat-Salé-Kénitra,Autre,Télétravail,1,0,Bac+5,Débutant (-1 an),1,1,,RH / Personnel / Formation- Secteur Informatique,,,Analyse | Autonomie | Implication | Recherche de nouveauté | Rigoureux | Travail en équipe,,0,6,1.0,22/12/2020,2020,119A612CB4,False,False,False
Développeur VBA/Excel,Alten Maroc,Fès,Fès-Meknès,CDI,Télétravail,1,0,Bac+5,Débutant (-1 an),1,1,Français | Anglais,Informatique,Informatique / Electronique,Informatique / Electronique,Ambition | Analyse | Autonomie | Communication | Implication | Organisation | Polyvalence | Recherche de nouveauté | Rigueur | Réflexion,.NET | Excel | Matlab | Power BI | Sql | Vba,6,10,1.0,23/12/2020,2020,8855D99744,False,False,False
Support Analyst,Digital Virgo,Casablanca,Casablanca-Settat,CDI,Télétravail,1,0,Bac,Junior (1 à 3 ans),1,3,Français | Anglais,Informatique / Electronique- Internet / Multimédia- Secteur Internet / Multimédia,,,Ambition | Analyse | Autonomie | Communication | Implication | Organisation | Persuasion | Recherche de nouveauté | Relation client | Rigueur | Réflexion | Écoute,,0,12,1.0,21/12/2020,2020,B9D108CA8F,False,False,False
Développeur Sénior anglophone en assurance,Dxc Cdg,Rabat,Rabat-Salé-Kénitra,CDI,Télétravail,1,0,Bac+5,Intermédiaire (3 à 5 ans),3,5,,Informatique / Electronique- Assurance (métiers de l')- Secteur Informatique,,,Ambition | Autonomie | Créativité | Implication | Organisation | Persuasion | Recherche de nouveauté | Réflexion,,0,8,5.0,22/12/2020,2020,441D3BE159,False,False,False
Technicien Service Desk projet d'assurance,Econocom Maroc,Salé,Rabat-Salé-Kénitra,CDI,Télétravail,1,0,Bac+2,Débutant (-1 an),1,1,,Assurance (métiers de l')- Banque (métiers de la)- Secteur Informatique,,,Autonomie | Flexibilité | Implication | Organisation | Persuasion | Stress,,0,6,10.0,21/12/2020,2020,BA90AD0249,False,False,False
Techniciens Support FAI,Alten Maroc,Fès,Fès-Meknès,Autre,Télétravail,1,0,Bac,Débutant (-1 an),1,1,,Informatique / Electronique- Télécom / Réseaux- Secteur Informatique,,,Ambition | Analyse | Autonomie | Communication | Implication | Recherche de nouveauté | Rigueur | Réflexion,,0,8,5.0,20/12/2020,2020,9183D8D1CD,False,False,False
Consultant Réseau & Sécurité,Atos Nearshore Casabalnca Et,Casablanca,Casablanca-Settat,CDI,Télétravail,1,0,Bac+5,Confirmé (5 à 10 ans),5,10,,Informatique / Electronique- Secteur Informatique,,,Ambition | Autonomie | Implication | Recherche de nouveauté | Réflexion,Linux,1,5,2.0,20/12/2020,2020,0818509890,False,False,True
Consultants Techniques PeopleSoft Confirmés - Technopolis,Dxc Cdg Technopolis Casanearshore,Casablanca,Casablanca-Settat,CDI,Télétravail,1,0,Bac+5,Junior (1 à 3 ans),1,3,Français | Anglais,Informatique / Electronique- Internet / Multimédia- Secteur Informatique,,,Ambition | Analyse | Autonomie | Implication | Recherche de nouveauté | Réflexion | Écoute,Java | PL/SQL | Sql,3,7,2.0,26/12/2020,2020,80906761A2,False,False,False
Développeur PHP/SYMFONY Senior,Sqli Maroc,Oujda,Oriental,CDI,Télétravail,1,0,Bac+5,Intermédiaire (3 à 5 ans),3,5,Anglais,Informatique,Informatique / Electronique,Informatique / Electronique,Ambition | Analyse | Autonomie | Communication | Esprit d'équipe | Implication | Organisé | Recherche de nouveauté | Rigoureux | Réflexion,Agile | Docker | Git | Javascript | Linux | Mysql | Php | Rest | Soap | Symfony | Vue.js,11,10,5.0,21/12/2020,2020,2A8A733EAB,True,False,False
Chef de projet GERMANOPHONE,Alten Maroc,Fès,Fès-Meknès,CDI,Télétravail,1,0,Bac+5,Confirmé (5 à 10 ans),5,10,Anglais | Allemand,Gestion projet / Etudes / R&D- Secteur Automobile / Motos / Cycles,,,Ambition | Autonomie | Communication | Gestion de projet | Leadership | Management | Recherche de nouveauté | Écoute,Agile | Python,2,8,1.0,20/12/2020,2020,1A0C586A44,True,False,False
Business Intelligence Engineer - Tétouan,Ntt Data Tetouan Cabo Negro,Cabo Negro,,CDI,Télétravail,1,0,Bac,Intermédiaire (3 à 5 ans),3,5,Anglais | Espagnol,Informatique,Informatique / Electronique,Informatique / Electronique,Ambition | Analyse | Autonomie | Implication | Prise de décision | Recherche de nouveauté | Réflexion,Etl | Oracle | SQL Server | Sql | Ssis,5,7,10.0,19/12/2020,2020,16641BDFD6,False,False,False
Analyste fonctionnel/Testeur,Sofrecom Maroc,Salé,Rabat-Salé-Kénitra,CDI,Télétravail,1,0,Bac+5,Intermédiaire (3 à 5 ans),3,5,,Informatique,Internet / Multimédia,Internet / Multimédia,Ambition | Analyse | Autonomie | Implication | Recherche de nouveauté | Réflexion,Agile | Jira | Scrum,3,6,1.0,20/12/2020,2020,C0323042BD,True,False,False
Superviseur,Atos Nearshore,Casablanca,Casablanca-Settat,Autre,Télétravail,1,0,Bac,Débutant (-1 an),1,1,Français,Informatique / Electronique- Internet / Multimédia- Secteur Informatique,,,Ambition | Autonomie | Communication | Implication | Planification | Recherche de nouveauté | Rigoureux | Réflexion | Écoute,,0,9,2.0,20/12/2020,2020,EE7B28D577,False,False,False
Concepteur Développeur Confirmé Drupal 8 F/H,Sqli Maroc,Rabat,Rabat-Salé-Kénitra,CDI,Télétravail,1,0,Bac+5,Intermédiaire (3 à 5 ans),3,5,Français | Anglais,Informatique / Electronique- Internet / Multimédia- Secteur Informatique,,,Ambition | Autonomie | Implication | Recherche de nouveauté | Relation client | Réflexion,Git | Laravel | Mariadb | Mysql,4,6,4.0,19/12/2020,2020,883BFE1C60,False,False,False
Développeur PHP Sénior,Alten Maroc,Fès,Fès-Meknès,CDI,Télétravail,1,0,Bac+5,Intermédiaire (3 à 5 ans),3,5,Français | Anglais,Informatique / Electronique- Internet / Multimédia- Secteur Informatique,,,Ambition | Autonomie | Collaboration | Communication | Implication | Organisation | Recherche de nouveauté | Réflexion,Agile | Git | Javascript | Mysql | Php | Postgresql | Sql,7,8,2.0,19/12/2020,2020,5780DFDE0C,True,False,False
Expert Cyber Sécurité (Secteur Bancaire) - Freelance,Welink,Casablanca,Casablanca-Settat,Freelance,Télétravail,1,0,Bac+5,Confirmé (5 à 10 ans),5,10,,Informatique / Electronique- Télécom / Réseaux- Secteur Informatique,,,Ambition | Analyse | Autonomie | Curiosité | Implication | Pragmatisme | Recherche de nouveauté | Rigueur | Réflexion,,0,9,4.0,19/12/2020,2020,FFA906EED5,False,False,False
